grp,threshold_mm,lead_days,FAR,FAR_lo,FAR_hi,n_points
8_30,1.0,6,0.33142493638676845,0.30004846421286724,0.36440356814020086,3
8_31,1.0,6,0.37450462351387054,0.3372910730781795,0.41043600516060735,3
9_23,1.0,6,0.5862068965517241,0.4999233128834356,0.6836756497470783,2
9_24,1.0,6,0.5775193798449613,0.5317596413125926,0.6240552325581395,4
9_25,1.0,6,0.4965753424657534,0.45639150943396223,0.5396045373768147,4
9_26,1.0,6,0.4487847222222222,0.41095200681332916,0.48694522172757376,4
9_27,1.0,6,0.5429042904290429,0.4870348958514449,0.6012059783636519,2
9_28,1.0,6,0.5619047619047619,0.5042980060542248,0.6184975174904085,1
9_30,1.0,6,0.26405451448040884,0.2174317454254429,0.31520477370549105,1
9_31,1.0,6,0.3567401332649923,0.3257491666330825,0.3924268470610486,3
9_32,1.0,6,0.47644927536231885,0.4351069432751523,0.5178425843813006,2
10_24,1.0,7,0.6735751295336787,0.6093580163043478,0.7443181818181818,1
10_25,1.0,7,0.48059701492537316,0.44321280006358965,0.5203077609277431,4
10_26,1.0,7,0.5125628140703518,0.4596124580175476,0.5695651572849662,3
11_24,1.0,7,0.55625,0.5112569998303071,0.5998025887390986,2
11_25,1.0,7,0.6622613803230544,0.6269695132531752,0.6957254467518175,4
11_26,1.0,7,0.7570224719101124,0.7165750461058306,0.7976061910988862,3
12_24,1.0,7,0.7823529411764706,0.725205101251752,0.8362417911221066,2
12_25,1.0,7,0.6414473684210527,0.5631424167444125,0.7142857142857143,1
3_25,1.0,7,0.5421146953405018,0.4790267656484368,0.6024337857760155,2
3_26,1.0,7,0.6502057613168725,0.6039503315007485,0.7012476295976418,2
4_25,1.0,7,0.4520973588814086,0.4104076670122234,0.49340465841009185,4
4_26,1.0,7,0.6093023255813953,0.5767016475372453,0.6424344088378757,4
5_24,1.0,7,0.3092896174863388,0.2523474547855779,0.3736409608091024,2
5_25,1.0,7,0.582687338501292,0.5474907839241892,0.6219452987914276,4
5_26,1.0,7,0.5582558970693352,0.5273352871487671,0.5934087878962011,4
5_27,1.0,7,0.5975609756097561,0.5371853780168425,0.6564816958698373,1
6_24,1.0,7,0.4066543438077634,0.3573452856875835,0.45471979286379927,3
6_25,1.0,7,0.5304223335719399,0.4911901439807482,0.5701228499070662,4
6_26,1.0,7,0.4488355681016232,0.4064122806261751,0.49510934891263536,4
6_27,1.0,7,0.4941753525444513,0.4562104461803257,0.5373945109261767,4
6_28,1.0,7,0.5108695652173914,0.46109823205947,0.5665495044171515,2
7_23,1.0,7,0.5405105438401776,0.4923144878560412,0.588402514831214,4
7_24,1.0,7,0.4428822495606327,0.4005286899512648,0.4866376155781357,4
7_25,1.0,7,0.3985086992543496,0.3598060838575948,0.442072501292297,4
7_26,1.0,7,0.3619344773790952,0.32247891099031883,0.4061538152395242,4
7_27,1.0,7,0.38615274803711636,0.347905029107034,0.42475521676811673,4
7_28,1.0,7,0.34203655352480417,0.3084486516720693,0.3782063027044785,4
7_29,1.0,7,0.3609022556390977,0.3004096638655462,0.4263334903936766,1
8_23,1.0,7,0.5079365079365079,0.42677757641979586,0.592282625973613,3
8_24,1.0,7,0.46567967698519513,0.4188161525399745,0.5152094787091118,4
8_25,1.0,7,0.4204301075268817,0.38526476877485694,0.4597358430876305,4
8_26,1.0,7,0.42987249544626593,0.39239560539752005,0.4673500813813601,4
8_27,1.0,7,0.4735973597359736,0.4301227257294642,0.5138841533489527,4
8_28,1.0,7,0.4780058651026393,0.441219143907563,0.5150420504552251,4
8_29,1.0,7,0.5061728395061729,0.4558281696451215,0.5563503581766143,2
8_30,1.0,7,0.33249370277078083,0.2998065450227627,0.3683891199685586,3
8_31,1.0,7,0.37027379400260757,0.33291375304030574,0.40694991239822736,3
9_23,1.0,7,0.5765765765765766,0.4811320754716981,0.6706043513295729,2
9_24,1.0,7,0.5802707930367504,0.5387650357510103,0.6220172700577038,4
9_25,1.0,7,0.5177548682703322,0.4765517267283247,0.5651425760037889,4
9_26,1.0,7,0.46395250212044103,0.42581101094607265,0.5049101702301222,4
9_27,1.0,7,0.5572998430141287,0.5048161671323343,0.6175690406976745,2
9_28,1.0,7,0.580046403712297,0.5263673657493383,0.6371450733037844,1
9_30,1.0,7,0.2861788617886179,0.23658524563360775,0.344665952094111,1
9_31,1.0,7,0.3724207347760443,0.33769798435050385,0.4077353729412248,3
9_32,1.0,7,0.48384279475982533,0.44649914472166147,0.5256349021435228,2
10_24,2.5,1,0.6068376068376068,0.5031862745098039,0.7163318868980963,1
10_25,2.5,1,0.47320525783619816,0.4334450538123489,0.5156191774927018,4
10_26,2.5,1,0.5140515222482436,0.45893370130079725,0.5719829788891486,3
11_24,2.5,1,0.5077519379844961,0.44819446703167637,0.5673549946294307,2
11_25,2.5,1,0.6618705035971223,0.6137316442725508,0.7059654299831033,4
11_26,2.5,1,0.746177370030581,0.6840469172193564,0.8069714609220764,3
12_24,2.5,1,0.7213114754098361,0.6406450765782242,0.7985641190018282,2
12_25,2.5,1,0.5919540229885057,0.5027857142857143,0.6894889195613833,1
3_25,2.5,1,0.5012019230769231,0.448120958525869,0.5588602493372501,2
3_26,2.5,1,0.5158371040723982,0.4624406461548333,0.5735335800987061,2
4_25,2.5,1,0.42,0.3766274924957118,0.4669337693517675,4
4_26,2.5,1,0.5519677093844602,0.5117188374987586,0.5892525550950015,4
5_24,2.5,1,0.2707774798927614,0.2202050184962339,0.33146375266524514,2
5_25,2.5,1,0.5714285714285714,0.5337365002361079,0.6114123644746665,4
5_26,2.5,1,0.5412262156448203,0.5005560508858918,0.5784047398161424,4
5_27,2.5,1,0.5714285714285714,0.5108456177537977,0.6322198254730855,1
6_24,2.5,1,0.36707152496626183,0.3172761705399149,0.42244666430928807,3
6_25,2.5,1,0.4798387096774194,0.4369263299908549,0.5249789255410137,4
6_26,2.5,1,0.4096958174904943,0.36786258006587513,0.45034539277229957,4
