season,threshold_mm,lead_days,n,base_rate,POD,FAR,CSI,BIAS,HSS,POD_lo,POD_hi,FAR_lo,FAR_hi,CSI_lo,CSI_hi,BIAS_lo,BIAS_hi,HSS_lo,HSS_hi
monsoon (JJAS),2.5,7,46704,0.3701610140459061,0.7989356779268857,0.4818816115237452,0.4583526913121391,1.5419944470152707,0.32582957320370853,0.7362136446980074,0.849468289511688,0.44693050139780005,0.5365913151686547,0.4014035868391401,0.49801945756521077,1.4503617124276074,1.67770738103734,0.27752588428058295,0.35492000319900074
non-monsoon (ONDJFMAM),1.0,1,82010,0.1096451652237532,0.7236432384341637,0.5069333939531712,0.4149343196020916,1.467637900355872,0.5244888380333919,0.6303674680510428,0.8015140807150816,0.454074264367679,0.5605907600081603,0.35547840799722613,0.4746516319705172,1.3327734117063927,1.651600940544658,0.4735013477720726,0.5671618646747554
non-monsoon (ONDJFMAM),1.0,2,82010,0.1096451652237532,0.7089635231316725,0.5182134220072552,0.40223357940564075,1.4715302491103204,0.5096869775360084,0.6117258642805892,0.7899507578666249,0.4615755652467183,0.5702966792079187,0.3427310722887363,0.4624100261443663,1.3202046769677205,1.6454459583738,0.4566125531721914,0.5580471879918277
non-monsoon (ONDJFMAM),1.0,3,82010,0.1096451652237532,0.6927268683274022,0.5331634564940418,0.38675027939898177,1.4838745551601424,0.49111260969034554,0.5824717269506635,0.7786527262330527,0.47563317321645476,0.587659225460128,0.3236202681317308,0.4499035734348503,1.319246082541209,1.6688083601251942,0.4346804246207999,0.5391273264940464
non-monsoon (ONDJFMAM),1.0,4,82010,0.1096451652237532,0.6688167259786477,0.5366718027734977,0.37686426870535156,1.4435053380782918,0.4800689120769167,0.5579761837331405,0.7576065437369873,0.47800709240443756,0.5892506711891788,0.31305829342201,0.44036497514910766,1.2773830193855773,1.619689687288327,0.4230951990240122,0.5304725696163478
non-monsoon (ONDJFMAM),1.0,5,82010,0.1096451652237532,0.65625,0.5530899727355347,0.3621356244246701,1.4684163701067616,0.46146446316949435,0.5350759181417585,0.7472373399570752,0.49269783593196176,0.6074903984111417,0.2952980286428527,0.4245382685656732,1.2848818461904936,1.6370398313503982,0.4015013628244552,0.5094218932464036
non-monsoon (ONDJFMAM),1.0,6,82010,0.1096451652237532,0.655693950177936,0.5767712296317565,0.34627356551359606,1.5492660142348755,0.43975423817093984,0.544090900506157,0.7417306011129808,0.5089712737372897,0.6359087160026023,0.2819941110451943,0.41173229396376726,1.357098649927219,1.7460822608910538,0.37964909445515294,0.49320601985911144
non-monsoon (ONDJFMAM),1.0,7,82010,0.1096451652237532,0.6564724199288257,0.5965967334107839,0.3330888161607042,1.627335409252669,0.42109483387712593,0.5391582580969339,0.7471062395169231,0.524690006515153,0.6580311215569864,0.26707619639231034,0.40145443525832447,1.4337253172631312,1.842143949331199,0.3591541584789885,0.48017284986553826
non-monsoon (ONDJFMAM),2.5,1,82010,0.0825631020607243,0.6459902525476297,0.5217058501913614,0.37896378443943857,1.3506129079899571,0.5024268099197822,0.5437401510357888,0.7289161509721931,0.4781388444865106,0.5680680045962155,0.3234296415071897,0.4315811685823488,1.1997225832274194,1.5055906704908275,0.45205796014637545,0.5441376061784979
non-monsoon (ONDJFMAM),2.5,2,82010,0.0825631020607243,0.6349136021267169,0.537741935483871,0.36518858307849134,1.3735046521931769,0.48587325493056616,0.5316898900484879,0.722492197176562,0.4929797040061718,0.5824787801889523,0.3082466755491197,0.4191541024843815,1.2136477793578235,1.5205450829873308,0.43229691829469036,0.5272410378627668
