truth,threshold_mm,lead_days,POD,FAR,CSI,BIAS,HSS,hits,false_alarms,misses,correct_neg,n,POD_lo,FAR_lo,CSI_lo,BIAS_lo,HSS_lo,POD_hi,FAR_hi,CSI_hi,BIAS_hi,HSS_hi
ERA5,1.0,2,0.8331049971925885,0.1753956962475547,0.7076981780024802,1.010308815272319,0.7375961134558221,37094.0,7890.0,7431.0,76299.0,128714.0,0.7985059463244496,0.14362679983359103,0.6646559966568456,0.9715009928537243,0.7023655288839522,0.8596701997818808,0.2124799684265217,0.745539079355947,1.0563984132648925,0.7630024168722308
ERA5,1.0,3,0.8221448624368333,0.18716553791495502,0.69127922347698,1.0114542391914654,0.7200819544986575,36606.0,8429.0,7919.0,75760.0,128714.0,0.7851337505519331,0.15178479444725232,0.6497758908395369,0.9674753269642828,0.6839269621693533,0.8515601246224688,0.2252513410064991,0.730730527447058,1.0669301152604946,0.7478206401441162
ERA5,1.0,4,0.8057271195957327,0.19284075057372993,0.6756629501280699,0.9982257158899495,0.7042148036229066,35875.0,8571.0,8650.0,75618.0,128714.0,0.7631153137256907,0.15727830576174828,0.628734374063472,0.9531030206493872,0.6633680151298592,0.8390900201734524,0.23377424351363968,0.7183527848623165,1.0518551927244606,0.7350609230213763
ERA5,1.0,5,0.8009882088714205,0.20603753422827756,0.6631461509854965,1.0088489612577203,0.6896194657716503,35664.0,9255.0,8861.0,74934.0,128714.0,0.7589974787432058,0.16682703367521695,0.6150165150926482,0.9622204904430904,0.649067731840649,0.8335523489694736,0.2485531623116643,0.7078945165873414,1.0619336047819095,0.7212233074247445
ERA5,1.0,6,0.8047838293093768,0.22472955430549546,0.652553175990676,1.0380685008422235,0.6753503840328258,35833.0,10387.0,8692.0,73802.0,128714.0,0.756521475639528,0.18524712084943035,0.6007372304965871,0.985870968962204,0.6289450404157084,0.837749530833557,0.26868081561560353,0.6978833968110078,1.0994001514969156,0.7091505393826013
ERA5,1.0,7,0.8087591240875912,0.2398623688598991,0.6443243630117378,1.0639640651319484,0.6637872444170525,36010.0,11363.0,8515.0,72826.0,128714.0,0.7629536003259197,0.19584968544182468,0.5909254808528527,1.0170066838183092,0.6167712681429575,0.8435022589447009,0.2857449936566414,0.6937031722650854,1.1192670147964703,0.7010676574366941
ERA5,2.5,1,0.8173402438659038,0.21843756266651387,0.6653497219783435,1.0457772851193865,0.7265518141648303,27282.0,7625.0,6097.0,87710.0,128714.0,0.7793477261955679,0.18345524688473103,0.6183691766947659,1.0030429072455223,0.6886250251826618,0.8416534356987191,0.25857422349307135,0.7040011881165921,1.0872268962896778,0.7513034141240376
ERA5,2.5,2,0.8023008478384613,0.2352504426295048,0.6434870365475647,1.0491027292609125,0.7046468757832325,26780.0,8238.0,6599.0,87097.0,128714.0,0.7620124682988418,0.20103697395784542,0.599140428909391,1.0038488145927293,0.6678821002100203,0.8267215834674425,0.274410393684417,0.6805697508136478,1.0926560987701923,0.729601858773943
ERA5,2.5,3,0.7813595374337158,0.2504382813622647,0.6196042097260828,1.0424218820216304,0.680574168137206,26081.0,8714.0,7298.0,86621.0,128714.0,0.7394428433774071,0.21065048943249384,0.5706265327119939,0.9917922049241497,0.6413076354888836,0.809824284377187,0.29746163962721933,0.662332160114311,1.09690601471405,0.7098462784573464
ERA5,2.5,4,0.7636837532580365,0.2577958945989227,0.6035801387540549,1.0289403517181461,0.6645618240364107,25491.0,8854.0,7888.0,86481.0,128714.0,0.7188735236457894,0.2155391171122054,0.5517104356142908,0.9765188074860451,0.6243970172286891,0.7970247389260526,0.3048580825351467,0.6498721721054782,1.0782271546898916,0.695912915483916
