point_id,lat,lon,threshold_mm,lead_days,POD,FAR,CSI,BIAS,HSS,FAR_lo,FAR_hi,NPV,NPV_lo,NPV_hi,wet_days,n
p0107,27.5,92.0,1.0,4,0.9125,0.2638655462184874,0.6875981161695447,1.2395833333333333,0.5656476134354743,0.21745236146831892,0.3197065222362326,0.8731117824773413,0.8113174561287769,0.9157835144927536,480,926
p0108,27.5,93.5,1.0,4,0.9814385150812065,0.4426877470355731,0.5514993481095176,1.7610208816705337,0.2884592188205021,0.39078814454290833,0.508352385979766,0.9520958083832335,0.9055091508831665,0.9851592250571211,431,926
p0109,27.5,95.0,1.0,4,0.8847058823529412,0.286527514231499,0.6527777777777778,1.24,0.5728801988920715,0.23697561606726425,0.3351904140588367,0.8771929824561403,0.827011593542316,0.92,425,926
p0110,27.5,96.5,1.0,4,0.8940568475452196,0.3908450704225352,0.5681444991789819,1.4677002583979328,0.45235193322209677,0.34291726651362464,0.4390505693965705,0.8854748603351955,0.8313136820278145,0.9287742965568307,387,926
p0111,29.0,72.5,1.0,4,0.5301204819277109,0.580952380952381,0.3055555555555556,1.2650602409638554,0.4089034712558567,0.492742474916388,0.6637238938053097,0.9524969549330086,0.9318146527385658,0.9716705053515784,83,926
p0112,29.0,74.0,1.0,4,0.6078431372549019,0.5507246376811594,0.34831460674157305,1.3529411764705883,0.4465603231523845,0.455530303030303,0.631578947368421,0.949238578680203,0.9288557068795946,0.9670426065162907,102,926
p0113,29.0,75.5,1.0,4,0.6617647058823529,0.5054945054945055,0.39473684210526316,1.338235294117647,0.4783396744011365,0.41269345238095234,0.6,0.9381720430107527,0.9145500686282036,0.9592088758810178,136,926
p0114,29.0,77.0,1.0,4,0.7467532467532467,0.5247933884297521,0.4092526690391459,1.5714285714285714,0.4738636363636364,0.45420075519194464,0.6071524577572964,0.9429824561403509,0.9187450509049774,0.9639409490816312,154,926
p0115,29.0,78.5,1.0,4,0.8494623655913979,0.4357142857142857,0.512987012987013,1.5053763440860215,0.5756912963257127,0.3539509251810137,0.511788851789419,0.9566563467492261,0.9355373295336549,0.9751251506442941,186,926
p0116,29.0,80.0,1.0,4,0.8489795918367347,0.32903225806451614,0.5994236311239193,1.2653061224489797,0.6444659282379913,0.2637775051235034,0.4007750611665269,0.939935064935065,0.9153822555727213,0.9652362135032696,245,926
p0117,29.0,95.0,1.0,4,0.9435483870967742,0.28549618320610687,0.6852122986822841,1.3205645161290323,0.5214941860185643,0.2419100635877297,0.33796819877906026,0.8966789667896679,0.8395061728395061,0.9416370745343962,496,926
p0118,29.0,96.5,1.0,4,0.8924731182795699,0.552158273381295,0.4249146757679181,1.992831541218638,0.32594467796493015,0.49390798468690184,0.6056133442882168,0.918918918918919,0.8788750894458767,0.9496406993398416,279,926
p0119,30.5,74.0,1.0,4,0.7159090909090909,0.6379310344827587,0.3165829145728643,1.9772727272727273,0.4059286374700455,0.5497156946304639,0.7319696529693626,0.9667553191489362,0.9480711672270801,0.98141295113663,88,926
p0120,30.5,75.5,1.0,4,0.6575342465753424,0.5675675675675675,0.35294117647058826,1.5205479452054795,0.40938741193865424,0.49764263008198095,0.6438030930886488,0.9289772727272727,0.9050247130230387,0.9500756429652042,146,926
