threshold_mm,lead_days,alpha,V,V_lo,V_hi,base_rate
1.0,2,0.24,0.639818772380467,,,0.2359183927156331
1.0,2,0.26,0.61707350504031,,,0.2359183927156331
1.0,2,0.28,0.593064611736811,,,0.2359183927156331
1.0,2,0.32,0.5408099616056659,,,0.2359183927156331
1.0,2,0.34,0.5123074251704957,,,0.2359183927156331
1.0,2,0.36,0.4820234802081276,,,0.2359183927156331
1.0,2,0.38,0.4497857323449614,,,0.2359183927156331
1.0,2,0.4,0.4153988012909174,,,0.2359183927156331
1.0,2,0.42,0.37864035775038785,,,0.2359183927156331
1.0,2,0.44,0.33925631109982046,,,0.2359183927156331
1.0,2,0.46,0.2969549276603219,,,0.2359183927156331
1.0,2,0.48,0.2513995916485543,,,0.2359183927156331
1.0,2,0.5,0.20219982875584547,,,0.2359183927156331
1.0,2,0.52,0.14890008562207735,,,0.2359183927156331
1.0,2,0.54,0.09096558221580765,,,0.2359183927156331
1.0,2,0.56,0.02776430577260459,,,0.2359183927156331
1.0,2,0.58,-0.04145613985566541,,,0.2359183927156331
1.0,2,0.6,-0.11759863004676273,,,0.2359183927156331
1.0,2,0.62,-0.20175611920534392,,,0.2359183927156331
1.0,2,0.64,-0.29526444049265643,,,0.2359183927156331
1.0,2,0.66,-0.3997737407549468,,,0.2359183927156331
1.0,2,0.68,-0.5173467035500237,,,0.2359183927156331
1.0,2,0.7,-0.650596061384443,,,0.2359183927156331
1.0,2,0.72,-0.8028810417666365,,,0.2359183927156331
1.0,2,0.74,-0.9785944806691688,,,0.2359183927156331
1.0,2,0.76,-1.1835934927221232,,,0.2359183927156331
1.0,2,0.78,-1.4258650524210688,,,0.2359183927156331
1.0,2,0.8,-1.7165909240598043,,,0.2359183927156331
1.0,2,0.82,-2.0719225449515895,,,0.2359183927156331
1.0,2,0.84,-2.516087071066324,,,0.2359183927156331
1.0,2,0.86,-3.087155747499555,,,0.2359183927156331
1.0,2,0.88,-3.8485806494105215,,,0.2359183927156331
1.0,2,0.9,-4.914575512085885,,,0.2359183927156331
1.0,2,0.92,-6.513567806098923,,,0.2359183927156331
1.0,2,0.94,-9.178554962787315,,,0.2359183927156331
1.0,2,0.96,-14.508529276164126,,,0.2359183927156331
1.0,2,0.98,-30.498452216294442,,,0.2359183927156331
1.0,3,0.1,0.3296355797779315,0.2468995449063862,0.4043424063688354,0.2359183927156331
1.0,3,0.3,0.551815470309839,0.47261052763892036,0.609432755795105,0.2359183927156331
1.0,3,0.02,-1.7552060031724084,,,0.2359183927156331
1.0,3,0.04,-0.45218001382844586,,,0.2359183927156331
1.0,3,0.06,-0.01783801738045843,,,0.2359183927156331
1.0,3,0.08,0.1993329808435353,,,0.2359183927156331
1.0,3,0.12,0.4165039790675289,,,0.2359183927156331
1.0,3,0.14,0.47855283570295565,,,0.2359183927156331
1.0,3,0.16,0.5250894781795258,,,0.2359183927156331
1.0,3,0.18,0.5612846445501913,,,0.2359183927156331
1.0,3,0.2,0.5902407776467239,,,0.2359183927156331
1.0,3,0.22,0.6139321592711595,,,0.2359183927156331
1.0,3,0.24,0.6253358153336315,,,0.2359183927156331
1.0,3,0.26,0.6021537245603636,,,0.2359183927156331
1.0,3,0.28,0.5776837398552476,,,0.2359183927156331
1.0,3,0.32,0.5244255378499947,,,0.2359183927156331
1.0,3,0.34,0.4953756094834933,,,0.2359183927156331
1.0,3,0.36,0.4645100605940854,,,0.2359183927156331
1.0,3,0.38,0.4316531859698771,,,0.2359183927156331
1.0,3,0.4,0.3966058530373882,,,0.2359183927156331
1.0,3,0.42,0.3591414626612794,,,0.2359183927156331
1.0,3,0.44,0.3190010444011628,,,0.2359183927156331
1.0,3,0.46,0.27588726182548196,,,0.2359183927156331
1.0,3,0.48,0.2294570344362878,,,0.2359183927156331
1.0,3,0.5,0.17931238885595754,,,0.2359183927156331
1.0,3,0.52,0.12498902281059977,,,0.2359183927156331
1.0,3,0.54,0.06594188580477613,,,0.2359183927156331
1.0,3,0.56,0.0015268272529679618,,,0.2359183927156331
1.0,3,0.58,-0.06902299877996365,,,0.2359183927156331
1.0,3,0.6,-0.14662780741618905,,,0.2359183927156331
1.0,3,0.62,-0.23240154327728021,,,0.2359183927156331
1.0,3,0.64,-0.3277056942340483,,,0.2359183927156331
1.0,3,0.66,-0.43422209824455366,,,0.2359183927156331
1.0,3,0.68,-0.5540530527563723,,,0.2359183927156331
1.0,3,0.7,-0.6898614678697659,,,0.2359183927156331
1.0,3,0.72,-0.8450710851422172,,,0.2359183927156331
1.0,3,0.74,-1.0241591050719683,,,0.2359183927156331
1.0,3,0.76,-1.2330951283233447,,,0.2359183927156331
1.0,3,0.78,-1.480019519438607,,,0.2359183927156331
1.0,3,0.8,-1.7763287887769226,,,0.2359183927156331
1.0,3,0.82,-2.138484562412638,,,0.2359183927156331
1.0,3,0.84,-2.591179279457288,,,0.2359183927156331
1.0,3,0.86,-3.1732153442289777,,,0.2359183927156331
1.0,3,0.88,-3.9492634305912317,,,0.2359183927156331
1.0,3,0.9,-5.03573075149839,,,0.2359183927156331
1.0,3,0.92,-6.665431732859119,,,0.2359183927156331
1.0,3,0.94,-9.381600035126993,,,0.2359183927156331
1.0,3,0.96,-14.813936639662776,,,0.2359183927156331
1.0,3,0.98,-31.110946453270003,,,0.2359183927156331
1.0,4,0.1,0.28397120429495265,0.19829969015414348,0.3596019543764289,0.2359183927156331
1.0,4,0.3,0.5362294295311486,0.4487331097454589,0.5962595845839569,0.2359183927156331
1.0,4,0.02,-2.007483629560337,,,0.2359183927156331
1.0,4,0.04,-0.575324358400781,,,0.2359183927156331
1.0,4,0.06,-0.097937934680929,,,0.2359183927156331
1.0,4,0.08,0.14075527717899713,,,0.2359183927156331
1.0,4,0.12,0.37944848903892314,,,0.2359183927156331
1.0,4,0.14,0.4476465495703305,,,0.2359183927156331
1.0,4,0.16,0.498795094968886,,,0.2359183927156331
1.0,4,0.18,0.5385772969455404,,,0.2359183927156331
1.0,4,0.2,0.5704030585268638,,,0.2359183927156331
1.0,4,0.22,0.596442318002492,,,0.2359183927156331
1.0,4,0.24,0.6094489335371625,,,0.2359183927156331
1.0,4,0.26,0.5863617025442752,,,0.2359183927156331
1.0,4,0.28,0.5619918476073387,,,0.2359183927156331
